ranking,score,movie_name,score_num
1,9.6,肖申克的救赎,878057
2,9.5,霸王别姬,631536
3,9.4,这个杀手不太冷,839243
4,9.4,阿甘正传,715239
5,9.5,美丽人生,417343
6,9.2,千与千寻,666465
7,9.4,辛德勒的名单,384702
8,9.2,泰坦尼克号,657597
9,9.2,盗梦空间,767075
10,9.3,机器人总动员,501275
11,9.2,海上钢琴师,601799
12,9.1,三傻大闹宝莱坞,677156
13,9.2,忠犬八公的故事,458016
14,9.2,放牛班的春天,454873
15,9.2,大话西游之大圣娶亲,490891
16,9.1,龙猫,420626
17,9.2,教父,345311
18,9.1,楚门的世界,457274
19,9.2,乱世佳人,272425
20,9.1,天堂电影院,310839
21,9.1,触不可及,367702
22,8.9,当幸福来敲门,541085
23,9.2,熔炉,253912
24,9.0,无间道,401012
25,9.0,搏击俱乐部,405533
ranking,score,movie_name,score_num
1,9.6,肖申克的救赎,878057
2,9.5,霸王别姬,631536
3,9.4,这个杀手不太冷,839243
4,9.4,阿甘正传,715239
5,9.5,美丽人生,417343
6,9.2,千与千寻,666465
7,9.4,辛德勒的名单,384702
8,9.2,泰坦尼克号,657597
9,9.2,盗梦空间,767075
10,9.3,机器人总动员,501275
11,9.2,海上钢琴师,601799
12,9.1,三傻大闹宝莱坞,677156
13,9.2,忠犬八公的故事,458016
14,9.2,放牛班的春天,454873
15,9.2,大话西游之大圣娶亲,490891
16,9.1,龙猫,420626
17,9.2,教父,345311
18,9.1,楚门的世界,457274
19,9.2,乱世佳人,272425
20,9.1,天堂电影院,310839
21,9.1,触不可及,367702
22,8.9,当幸福来敲门,541085
23,9.2,熔炉,253912
24,9.0,无间道,401012
25,9.0,搏击俱乐部,405533
26,9.4,十二怒汉,171963
27,8.9,怦然心动,548672
28,9.1,指环王3：王者无敌,285583
29,9.1,星际穿越,486100
30,9.0,少年派的奇幻漂流,580301
31,9.0,天空之城,333332
32,9.2,鬼子来了,228765
33,8.9,罗马假日,386430
